id,timestamp,Date,Time,Activity,Place
1,2024-07-29 18:34:44,2024-07-29,18:34:44,Laying,Room
2,2024-07-29 18:34:45,2024-07-29,18:34:45,Laying,Room
3,2024-07-29 18:34:46,2024-07-29,18:34:46,Laying,Room
4,2024-07-29 18:34:47,2024-07-29,18:34:47,Laying,Room
5,2024-07-29 18:34:47,2024-07-29,18:34:47,Laying,Room
6,2024-07-29 18:34:48,2024-07-29,18:34:48,Laying,Room
7,2024-07-29 18:34:49,2024-07-29,18:34:49,Laying,Room
8,2024-07-29 18:34:50,2024-07-29,18:34:50,Laying,Room
9,2024-07-29 18:34:50,2024-07-29,18:34:50,Laying,Room
10,2024-07-29 18:34:51,2024-07-29,18:34:51,Laying,Room
11,2024-07-29 18:34:52,2024-07-29,18:34:52,Laying,Room
12,2024-07-29 18:34:53,2024-07-29,18:34:53,Laying,Room
13,2024-07-29 18:34:53,2024-07-29,18:34:53,Laying,Room
14,2024-07-29 18:34:54,2024-07-29,18:34:54,Laying,Room
15,2024-07-29 18:34:55,2024-07-29,18:34:55,Laying,Room
16,2024-07-29 18:34:56,2024-07-29,18:34:56,Laying,Room
17,2024-07-29 18:34:56,2024-07-29,18:34:56,Laying,Room
18,2024-07-29 18:34:57,2024-07-29,18:34:57,Laying,Room
19,2024-07-29 18:34:58,2024-07-29,18:34:58,Laying,Room
20,2024-07-29 18:34:59,2024-07-29,18:34:59,Laying,Room
21,2024-07-29 18:34:59,2024-07-29,18:34:59,Laying,Room
22,2024-07-29 18:35:00,2024-07-29,18:35:00,Laying,Room
23,2024-07-29 18:35:01,2024-07-29,18:35:01,Laying,Room
24,2024-07-29 18:35:02,2024-07-29,18:35:02,Laying,Room
25,2024-07-29 18:35:02,2024-07-29,18:35:02,Laying,Room
26,2024-07-29 18:35:03,2024-07-29,18:35:03,Laying,Room
27,2024-07-29 18:35:04,2024-07-29,18:35:04,Laying,Room
28,2024-07-29 18:35:05,2024-07-29,18:35:05,Laying,Room
29,2024-07-29 18:35:05,2024-07-29,18:35:05,Laying,Room
30,2024-07-29 18:35:06,2024-07-29,18:35:06,Laying,Room
31,2024-07-29 18:35:07,2024-07-29,18:35:07,Laying,Room
32,2024-07-29 18:35:08,2024-07-29,18:35:08,Laying,Room
33,2024-07-29 18:35:08,2024-07-29,18:35:08,Laying,Room
34,2024-07-29 18:35:09,2024-07-29,18:35:09,Laying,Room
35,2024-07-29 18:35:10,2024-07-29,18:35:10,Laying,Room
36,2024-07-29 18:35:11,2024-07-29,18:35:11,Laying,Room
37,2024-07-29 18:35:11,2024-07-29,18:35:11,Laying,Room
38,2024-07-29 18:35:12,2024-07-29,18:35:12,Laying,Room
39,2024-07-29 18:35:13,2024-07-29,18:35:13,Laying,Room
40,2024-07-29 18:35:14,2024-07-29,18:35:14,Laying,Room
41,2024-07-29 18:35:14,2024-07-29,18:35:14,Laying,Room
42,2024-07-29 18:35:15,2024-07-29,18:35:15,Laying,Room
43,2024-07-29 18:35:16,2024-07-29,18:35:16,Laying,Room
44,2024-07-29 18:35:17,2024-07-29,18:35:17,Laying,Room
45,2024-07-29 18:35:17,2024-07-29,18:35:17,Laying,Room
